SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),176-182 Valparaiso St,San Francisco,CA,94133,2500000,7,,Russian Hill,3164,1794,1907,12,790,,Active,,,http://www.redfin.com/CA/San-Francisco/176-Valparaiso-St-94133/home/1991067,San Francisco MLS,476259,N,Y,37.8011908,-122.4156828
MLS Listing,,Condo/Co-op,718 Long Bridge St #214,San Francisco,CA,94158,1688000,2,2,Mission Bay,1307,,2015,12,1292,970,Active,,,http://www.redfin.com/CA/San-Francisco/718-Long-Bridge-St-94158/unit-214/home/105308578,San Francisco MLS,477923,N,Y,37.7713076,-122.3944739
MLS Listing,,Single Family Residential,266 Bemis St,San Francisco,CA,94131,1700000,3,3,Glen Park,2198,2700,1987,12,773,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/266-Bemis-St-94131/home/844957,San Francisco MLS,476434,N,Y,37.7363198,-122.4321922
MLS Listing,,Multi-Family (2-4 Unit),2859 Steiner St,San Francisco,CA,94123,3795000,7,3,Pacific Heights,3922,2199,1903,13,968,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/2859-Steiner-St-94123/home/562913,San Francisco MLS,477931,N,Y,37.795784,-122.437178
MLS Listing,,Single Family Residential,584 Dewey Blvd,San Francisco,CA,94116,2680000,6,6.5,Forest Hill,3594,3833,1923,13,746,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/584-Dewey-Blvd-94116/home/1526004,San Francisco MLS,477395,N,Y,37.7442062,-122.4635532
MLS Listing,,Single Family Residential,297 Capistrano Ave,San Francisco,CA,94112,998000,3,2,Mission Terrace,1490,3898,1925,13,670,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/297-Capistrano-Ave-94112/home/1387234,San Francisco MLS,477925,N,Y,37.7266199,-122.437838
MLS Listing,,Condo/Co-op,333 Grant Ave #502,San Francisco,CA,94108,825000,1,1.5,Financial District,687,,1908,13,1201,809,Active,,,http://www.redfin.com/CA/San-Francisco/333-Grant-Ave-94108/unit-502/home/1836987,San Francisco MLS,477918,N,Y,37.7901568,-122.4057559
MLS Listing,,Condo/Co-op,1238 Sutter St #604,San Francisco,CA,94109,995000,2,1,Van Ness/Civic Center,,,,13,,566,Active,,,http://www.redfin.com/CA/San-Francisco/1238-Sutter-St-94109/unit-604/home/147723741,San Francisco MLS,477919,N,Y,37.7880028,-122.4208442
MLS Listing,,Condo/Co-op,3033 California St,San Francisco,CA,94115,1695000,3,3,Pacific Heights,1700,,1895,13,997,289,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/3033-California-St-94115/home/1996049,San Francisco MLS,476240,N,Y,37.787266,-122.4443
MLS Listing,,Condo/Co-op,855 Folsom St #333,San Francisco,CA,94107,855000,1,1.5,Yerba Buena,,,2001,13,,545,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-333/home/1876104,San Francisco MLS,477295,N,Y,37.7807737,-122.4021633
